Месяц;Магазин;План ТО;План Трафик;План Штуки;Факт ТО;Факт Трафик;Факт Штуки
Март;401; 3 074 187 ; 11 772 ; 8 862 ; 2 404 185 ; 10 452 ; 7 496 
Март;402; 5 428 771 ; 21 032 ; 15 873 ; 3 864 873 ; 18 521 ; 12 503 
Март;403; 4 373 176 ; 16 005 ; 12 963 ; 3 319 356 ; 12 697 ; 10 177 
Март;404; 3 594 047 ; 25 397 ; 10 582 ; 2 798 464 ; 17 344 ; 7 844 
Март;405; 3 217 049 ; 10 714 ; 9 921 ; 2 634 242 ; 8 330 ; 8 786 
Март;406; 3 015 984 ; 10 582 ; 9 524 ; 2 222 924 ; 9 759 ; 7 274 
Март;407; 5 555 760 ; 18 519 ; 16 667 ; 4 498 677 ; 15 466 ; 14 521 
Март;408; 5 291 200 ; 19 842 ; 19 577 ; 2 885 861 ; 6 489 ; 9 923 
Апрель;401; 2 990 850 ; 11 376 ; 9 259 ; 3 050 202 ; 11 504 ; 8 874 
Апрель;402; 5 000 184 ; 19 842 ; 15 609 ; 4 832 551 ; 20 943 ; 15 246 
Апрель;403; 3 333 456 ; 13 228 ; 10 317 ; 4 204 899 ; 13 594 ; 12 552 
Апрель;404; 2 648 245 ; 17 064 ; 7 143 ; 2 766 055 ; 17 106 ; 7 776 
Апрель;405; 2 579 460 ; 8 862 ; 7 936 ; 2 729 926 ; 8 014 ; 8 156 
Апрель;406; 2 666 764 ; 10 450 ; 8 465 ; 2 707 237 ; 9 495 ; 8 481 
Апрель;407; 4 373 176 ; 16 005 ; 13 889 ; 4 966 557 ; 14 605 ; 15 188 
Апрель;408; 4 074 224 ; 10 582 ; 11 905 ; 3 209 747 ; 5 661 ; 9 701 
Апрель;409; 2 902 884 ; 9 259 ; 10 053 ; 4 659 495 ; 18 168 ; 15 874 
Май;401; 3 307 000 ; 11 905 ; 8 862 ; 3 285 527 ; 13 718 ; 9 485 
Май;402; 5 688 040 ; 21 164 ; 17 328 ; 4 697 062 ; 21 573 ; 15 255 
Май;403; 4 232 960 ; 14 550 ; 12 698 ; 4 175 579 ; 15 790 ; 13 196 
Май;404; 3 505 420 ; 21 164 ; 9 788 ; 2 889 983 ; 19 355 ; 7 983 
Май;405; 3 174 720 ; 9 259 ; 9 127 ; 3 022 033 ; 9 487 ; 9 394 
Май;406; 3 042 440 ; 10 582 ; 9 127 ; 2 831 279 ; 10 717 ; 9 296 
Май;407; 5 291 200 ; 15 873 ; 16 138 ; 6 196 819 ; 19 054 ; 19 365 
Май;408; 3 042 440 ; 6 614 ; 8 465 ; 3 842 352 ; 6 555 ; 11 939 
Май;409; 4 497 520 ; 17 196 ; 14 815 ; 4 546 775 ; 17 150 ; 13 501 
Май;410; 3 307 000 ; 9 259 ; 9 127 ; 4 894 300 ; 11 286 ; 14 007 
Май;411; 1 984 200 ; 5 291 ; 5 555 ; 2 835 619 ; 14 463 ; 9 524 
